"category_number","category","recommended_treatment","correction_target","adjustment_id","room_id","room","receipt_id","receipt_number","receipt_received_pacific","receipt_crop_year","receipt_is_test","receipt_is_deleted","grower","grower_lot","variety","organic","adjustment_crop_year","quantity","old_bin_count","new_bin_count","transaction_type","source","reason","bins_run_links","room_depletion_id","depletion_receipt_id","bins_depleted","room_transfer_id","actual_run_id","actual_run_revision_id","created_at","adjustment_at","adjustment_pacific","boundary_receipt_id","boundary_pacific","before_boundary"
"1","Valid prior-season historical activity with a carried balance requiring a season-opening zero","Set the carried ledger impact to zero while preserving receipt 26 and its history.","yes","1","30","Bluemountain 4","26","LS018","2026-06-15 12:51:00","2025","f","f","MFR - SONBAY","9660","RED","f","","34","","34","ReceiptAdd","Receiving inventory added","Receiving inventory added","","","","","","","","2026-06-15 19:52:47.230869+00","2026-06-15 19:51:00+00","2026-06-15 12:51:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","2","15","Evans-5","14","LS006","2026-06-11 10:56:00","2025","f","f","GA Orchard","1560","PINK","f","","-78","78","0","Depletion","Bins sent to line","Bins sent to line","","1","14","78","","","","2026-06-15 22:40:11.566447+00","2026-06-15 22:37:00+00","2026-06-15 15:37:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","3","15","Evans-5","13","LS005","2026-06-11 10:37:00","2025","f","f","GA Orchard","1560","PINK","f","","-78","78","0","Depletion","Bins sent to line","Bins sent to line","","2","13","78","","","","2026-06-15 22:41:29.80892+00","2026-06-15 22:40:00+00","2026-06-15 15:40:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","4","15","Evans-5","12","LS004","2026-06-11 10:19:00","2025","f","f","GA Orchard","1560","PINK","f","","-78","78","0","Depletion","Bins sent to line","Bins sent to line","","3","12","78","","","","2026-06-15 22:41:39.557185+00","2026-06-15 22:41:00+00","2026-06-15 15:41:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","5","15","Evans-5","11","LS003","2026-06-11 10:07:00","2025","f","f","GA Orchard","1560","PINK","f","","-78","78","0","Depletion","Bins sent to line","Bins sent to line","","4","11","78","","","","2026-06-15 22:41:50.613869+00","2026-06-15 22:41:00+00","2026-06-15 15:41:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","6","15","Evans-5","10","LS002","2026-06-11 09:51:00","2025","f","f","GA Orchard","1560","PINK","f","","-78","78","0","Depletion","Bins sent to line","Bins sent to line","","5","10","78","","","","2026-06-15 22:42:00.573162+00","2026-06-15 22:41:00+00","2026-06-15 15:41:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","7","15","Evans-5","9","LS001","2026-06-10 08:08:00","2025","f","f","MFR - FUJI BLK E","1050","PINK","f","","-52","52","0","Depletion","Bins sent to line","Bins sent to line","","6","9","52","","","","2026-06-15 22:42:10.112306+00","2026-06-15 22:42:00+00","2026-06-15 15:42:00","99","2026-07-28 08:36:00","t"
"3","Invalid test or duplicate data safe to remove","Set the duplicate ReceiptAdd impact to zero; preserve soft-deleted receipt 28 and Bins Run history.","yes","8","11","Evans-01","28","LS020","2026-06-16 11:35:00","2025","f","t","MFR - SONBAY","9660","RED","f","","1039","","1039","ReceiptAdd","Receiving inventory added","Receiving inventory added","","","","","","","","2026-06-16 18:40:57.57965+00","2026-06-16 18:35:00+00","2026-06-16 11:35:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","9","22","Evans-12","24","LS016","2026-06-12 15:49:00","2025","f","f","Gronk Orchard NON-CHILEAN","1570","FUJI","f","","0","819","819","ReceiptEdit","Admin receipt correction","Admin receipt correction","","","","","","","","2026-06-17 20:22:50.424336+00","2026-06-17 20:22:50.423541+00","2026-06-17 13:22:50.423541","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","10","10","Lamb-17","3","DS001","2026-06-09 08:24:00","2025","f","f","MFR - FUJI ORCH-BLK B","1020","PINK","f","","0","226","226","ReceiptEdit","Admin receipt correction","Admin receipt correction","","","","","","","","2026-06-17 20:27:39.940035+00","2026-06-17 20:27:39.940027+00","2026-06-17 13:27:39.940027","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","11","10","Lamb-17","4","DS002","2026-06-09 09:38:00","2025","f","f","MFR - FUJI ORCH-BLK E","1050","PINK","f","","0","1359","1359","ReceiptEdit","Admin receipt correction","Admin receipt correction","","","","","","","","2026-06-17 20:28:27.183332+00","2026-06-17 20:28:27.183323+00","2026-06-17 13:28:27.183323","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","12","22","Evans-12","5","DS003","2026-06-09 10:27:00","2025","f","f","GA Orchard","1560","FUJI","f","","0","118","118","ReceiptEdit","Admin receipt correction","Admin receipt correction","","","","","","","","2026-06-17 20:28:47.931788+00","2026-06-17 20:28:47.93178+00","2026-06-17 13:28:47.93178","99","2026-07-28 08:36:00","t"
