adjustment_id,room_id,room,receipt_id,receipt_number,receipt_received_utc,receipt_received_pacific,receipt_crop_year,receipt_is_test,receipt_is_deleted,adjustment_grower_lot_id,grower,grower_lot,FruitProfileId,variety,IsOrganic,adjustment_crop_year,quantity,OldBinCount,NewBinCount,transaction_type,Source,Reason,Notes,RoomDepletionId,depletion_receipt_id,BinCountDepleted,DepletedAt,IsVoided,RoomTransferId,ActualRunId,ActualRunRevisionId,bins_run_links,AdjustmentAt,adjustment_pacific,CreatedAt,CreatedByUserId,InventoryInvariantVersion,InventoryOperationKey,boundary_receipt_id,boundary_utc,boundary_pacific,before_boundary
1,30,Bluemountain 4,26,LS018,2026-06-15 19:51:00+00,2026-06-15 12:51:00,2025,f,f,251,MFR - SONBAY,9660,14,RED,f,,34,,34,ReceiptAdd,Receiving inventory added,Receiving inventory added,Receipt LS018 added 34 bins to BM-4.,,,,,,,,,,2026-06-15 19:51:00+00,2026-06-15 12:51:00,2026-06-15 19:52:47.230869+00,3,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
38,27,BM-1,,,,,,,,253,MFR - TASH & BROWN,9510,14,RED,f,2025,264,,264,StartingInventoryImport,Current Inventory Baseline,Current Inventory Baseline,Current inventory baseline imported from Current Inventory Baseline; Crop year 2025; status -; Crop QC room BM-1; Compu-Tech room blueca01; mapped to master room BM-1.,,,,,,,,,5:264:2026-07-23 22:30:00+00:f:,2026-06-18 00:00:00+00,2026-06-17 17:00:00,2026-06-19 04:16:37.582604+00,1,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
58,27,BM-1,,,,,,,,253,MFR - TASH & BROWN,9510,14,RED,f,,-264,264,0,BinsRun,Bins Run,BinsRun,Rooms Cleared,,,,,,,,,5:264:2026-07-23 22:30:00+00:f:,2026-07-23 22:30:00+00,2026-07-23 15:30:00,2026-07-23 15:31:05.798874+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
39,27,BM-1,,,,,,,,206,MFR - BROWN HOME PL,9550,14,RED,f,2025,306,,306,StartingInventoryImport,Current Inventory Baseline,Current Inventory Baseline,Current inventory baseline imported from Current Inventory Baseline; Crop year 2025; status -; Crop QC room BM-1; Compu-Tech room blueca01; mapped to master room BM-1.,,,,,,,,,3:306:2026-07-23 22:28:00+00:f:,2026-06-18 00:00:00+00,2026-06-17 17:00:00,2026-06-19 04:16:37.582604+00,1,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
56,27,BM-1,,,,,,,,206,MFR - BROWN HOME PL,9550,14,RED,f,,-306,306,0,BinsRun,Bins Run,BinsRun,,,,,,,,,,3:306:2026-07-23 22:28:00+00:f:,2026-07-23 22:28:00+00,2026-07-23 15:28:00,2026-07-23 15:29:01.308392+00,1,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
40,27,BM-1,,,,,,,,209,MFR - DOUGHERTY,9560,14,RED,f,2025,608,,608,StartingInventoryImport,Current Inventory Baseline,Current Inventory Baseline,Current inventory baseline imported from Current Inventory Baseline; Crop year 2025; status -; Crop QC room BM-1; Compu-Tech room blueca01; mapped to master room BM-1.,,,,,,,,,4:608:2026-07-23 22:30:00+00:f:,2026-06-18 00:00:00+00,2026-06-17 17:00:00,2026-06-19 04:16:37.582604+00,1,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
57,27,BM-1,,,,,,,,209,MFR - DOUGHERTY,9560,14,RED,f,,-608,608,0,BinsRun,Bins Run,BinsRun,Room Cleared,,,,,,,,,4:608:2026-07-23 22:30:00+00:f:,2026-07-23 22:30:00+00,2026-07-23 15:30:00,2026-07-23 15:30:49.088701+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
47,32,BM-6,,,,,,,,272,OK ORCHARD,1290,4,GSMT,f,2025,281,,281,StartingInventoryImport,Current Inventory Baseline,Current Inventory Baseline,Current inventory baseline imported from Current Inventory Baseline; Crop year 2025; status -; Crop QC room BM-6; Compu-Tech room Blueca06; mapped to master room BM-6.,,,,,,,,,22:281:2026-07-23 22:41:00+00:f:,2026-06-18 00:00:00+00,2026-06-17 17:00:00,2026-06-19 04:16:37.582604+00,1,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
75,32,BM-6,,,,,,,,272,OK ORCHARD,1290,4,GSMT,f,,-281,281,0,BinsRun,Bins Run,BinsRun,Room Cleared,,,,,,,,,22:281:2026-07-23 22:41:00+00:f:,2026-07-23 22:41:00+00,2026-07-23 15:41:00,2026-07-23 15:41:18.316612+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
48,32,BM-6,,,,,,,,130,GA Orchard,1560,4,GSMT,f,2025,183,,183,StartingInventoryImport,Current Inventory Baseline,Current Inventory Baseline,Current inventory baseline imported from Current Inventory Baseline; Crop year 2025; status -; Crop QC room BM-6; Compu-Tech room Blueca06; mapped to master room BM-6.,,,,,,,,,19:183:2026-07-23 22:40:00+00:f:,2026-06-18 00:00:00+00,2026-06-17 17:00:00,2026-06-19 04:16:37.582604+00,1,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
