GrowerNumber,GrowerName,Pool,Status,RedirectToGrowerNumber
1010,MFR - FUJI ORCH-BLK A,FA,Active,
1020,MFR - FUJI ORCH-BLK B,FB,Active,
1030,MFR - FUJI ORCH-BLK C,FG,Active,
1031,MFR - FUJI ORCH-BLK C- trans block,FT,Active,
1040,MFR - FUJI ORCH-BLK D,FD,Active,
1050,MFR - FUJI ORCH-BLK E,FE,Active,
1060,,,Inactive,
1061,,,Inactive,2400
1062,,,Inactive,3900
1063,,,Inactive,3900
1070,MFR - FUJI ORCH-BLK F,FF,Active,
1080,WINDY POINT,WP,Active,
1081,WP Orchard - EAST POINT,WS,Active,
1082,WP Orchard - EP Non-Chilean,WN,Active,
1085,WP ORCHARD -NON CHILEAN,WC,Active,
1090,VANTAGE ORCHARDS,VA,Active,
1095,VANTAGE ORCHARDS NON-CHILEAN,VC,Active,
1100,,,Inactive,
1110,FRENCHMAN ORCHARD,FR,Active,
1115,FRENCHMAN ORCHARD NON-CHILEAN,F1,Active,
1120,ALL THAT JAZZ NON-CHILEAN,AJ,Active,
1125,ALL THAT JAZZ NON-CANADA,AT,Active,
1127,OMAK AIRPORT-STAYMAN,AS,Active,
1130,OTHELLOS EDGE NON-CHILEAN,OE,Active,
1140,9 MILE ORCHARD,9M,Active,
1145,9 MILE ORCHARD NON-CHILEAN,9C,Active,
1150,COYOTE,CO,Active,
1160,MEADOW LAKE ORCHARDS,ML,Active,
1165,Davis Orchards - Rembolt Fuji,DR,Active,
1166,Davis Orchards - P4 Fuji,P4,Active,
1167,Davis Orchards - Hurley Fuji,HF,Active,
1168,Davis Orchards - Bob Fuji,BD,Active,
1169,Davis Orchards - Tootie Fuji,TF,Active,
1170,Davis Orchads - Todd Humbert,TH,Active,
1175,Davis orchards -FIRESTORM,FI,Active,
1180,Davis Orchards - toddbenito,TD,Active,
1185,Davis Orchards - ToddFujis,DV,Active,
1190,ADAMS COUNTY APPLES NON-CHILEAN,AC,Active,
1200,,,Inactive,
1210,Davis Orchards - LeforeGS,LG,Active,
1220,,,Inactive,
1230,SIMMONS,SI,Active,
1235,Simmons - Chilean,SX,Active,
1240,Panorama,PA,Active,
1250,,,Inactive,
1260,LC Orchard LLC NON-CHILEAN,LC,Active,
1270,HIGHLAND HARVEST,HH,Active,
1275,HIGHLAND HARVEST NON-CHILEAN,H3,Active,
1280,,,Inactive,
1290,OK ORCHARD,OK,Active,
1295,OK ORCHARD-NON-CHILEAN,OG,Active,
1300,,,Inactive,
1310,MP - CHILLIWIST,MC,Active,
1320,JJ Tonasket,JJ,Active,
1325,JJ ORCHARD - DJT,DJ,Active,
1330,FFL-Sweetheart,FS,Active,
1335,FFL-SWEETHEART NON-CHILEAN,FU,Active,
1340,FFL-Cherry Hill,FC,Active,
1350,FFL-Organic,FO,Active,
1355,FFL-ORGANIC NON-CHILEAN,FP,Active,
1360,Elk-Riverside,ER,Active,
1370,Top Pear,TP,Active,
1380,Radar Hill Apples,RH,Active,
1385,Radar Hill Apples-A Glory Block,RG,Active,
1390,Duck Lake,DL,Active,
1400,,,Inactive,
1500,,,Inactive,
1510,Porky Pears,PP,Active,
1520,MP - HENDRICKSON,MH,Active,
1530,Baldwin Pears,BA,Active,
1540,Cook Orchard,CK,Active,
1545,COOK ORCHARD NON-CHILEAN,C1,Active,
1550,Omak Airport Orchard,OA,Active,
1551,OMAK AIRPORT-THESIS,OT,Active,
1552,OMAK AIRPORT-BLOCK C,OC,Active,
1553,OMAK AIRPORT-BLOCK D,OD,Active,
1554,OMAK AIRPORT-ABOVE BIDE-A-WEE,OV,Active,
1555,OMAK AIRPORT-BELOW BIDE-A-WEE,OL,Active,
1556,OMAK AIRPORT NON-CHILEAN,ON,Active,
1560,GA Orchard,AG,Active,
1561,GA ORCHARD NON-CHILEANS,AN,Active,
1565,GA Orchard-Special,AF,Active,
1570,Gronk Orchard NON-CHILEAN,NK,Active,
1575,Gronk Orchard CHILEAN,NN,Active,
1600,Pine Creek,PI,Active,
1700,BRAYS,BR,Active,
1725,BRAYS NON-CHILEAN,B6,Active,
1750,Brays-Pink Lady,B5,Active,
1800,leave open due to WP history,,Active,
1900,leave open due to WP history,,Active,
2000,4 PAC,4P,Active,
2100,leave open due to WP history,,Active,
2200,Crown,CR,Active,
2230,Crown-Fungicide,CC,Active,
2240,Crown-D&F,CL,Active,
2250,Crown-Drench,CW,Active,
2260,Crown-Chilean,CX,Active,
2300,leave open due to WP history,,Active,
2400,PHOENIX ORCHARDS Block A &E,PH,Active,
2500,leave open due to WP history,,Active,
2600,Turtle Rock,TR,Active,
2700,LSI,LS,Active,
2710,LSI NON-CHILEAN,L3,Active,
2720,LSI-ROBISON BLOCK,L4,Active,
2750,LSI-PINK LADY,LP,Active,
2800,Bella Vista,BV,Active,
2825,Bella Vista - Chilean,B7,Active,
2900,Loomis,LO,Active,
2910,LOOMIS NON-CHILEAN,L1,Active,
3000,,,Inactive,
3010,PREMIERE PARTNERS IV,IV,Active,
3020,ROLLOFF FARMS-VA EASTSIDE,RV,Active,
3030,MFR - ZERBA PL,BW,Active,
3040,DL & JJ FARMS - MASON,MS,Active,
3050,ROLOFF FARMS - JERRI,JE,Active,
3060,ROLOFF FARMS - MILTA,MI,Active,
3070,Morris Orchards,CA,Active,
3080,MASON PLACE-MALCOM MILLAR,MM,Active,
3090,BULLOCK FARMS,SP,Active,
3100,EMPEY ORCHARDS,EM,Active,
3110,Rodighiero Orchard -Bradshaw,SB,Active,
3120,SAM'S APPLES - WAREHOUSE,SW,Active,
3130,SAMS APPLES - DANS,SD,Active,
3140,DL & JJ FARMS - MARLIN,DM,Active,
3150,MFR - DAN SAMS & BROWN,DS,Active,
3160,MFR - L&E WALISER PL,LW,Active,
3170,MASON & BROWN,MN,Active,
3180,MFR - WILMONT PL,EW,Active,
3190,MFR - M&D FARMS CARTER SHOP,MA,Active,
3200,BENCH ORCHARD NON-CHILEAN,BE,Active,
3210,BULLOCK & STEWART,BL,Active,
3220,BULLOCK & TEN EYCK,TE,Active,
3230,BULLOCK & SMITH,SM,Active,
3240,MFR - J WAL. ORCH INC - WALISER DAVIS,JA,Active,
3250,BULLOCK RANCHES - BAKER,BM,Active,
3260,Rodighiero Orch - Home50,SH,Active,
3270,BULLOCK FARMS - HOME,BQ,Active,
3280,BULLOCK FARMS - NFORK,BY,Active,
3290,MFR - J L WAL FM LLC -TOWN,JF,Active,
3300,MFR - J WAL ORCH INC -DANIELSON,JD,Active,
3310,MFR - J WAL ORCH INC -BOLLINGER,JO,Active,
3320,ROLOFF FARMS - PENA,RP,Active,
3330,"FRESH 2-U, INC",2U,Active,
3340,Leave Open for EBS Use,F2,Active,
3350,GIGUIERE-RODIGHIERO,G1,Active,
3360,RODIGHIERO - LINDA LARSON,LL,Active,
3365,LINDA KRUGER-RODIGHIERO,L2,Active,
3370,RODIGHIERO - JAMES LARSON,JL,Active,
3380,RODIGHIERO - STOLZ,SZ,Active,
3390,RODIGHIERO - VONDERAHE,VO,Active,
3400,MARCEL STOLZ - RODIGHIERO,MT,Active,
3410,ROLOFF FARMS - BRESTER,RA,Active,
3420,ROLOFF FARMS - IZZY,RZ,Active,
3430,ROLOFF FARMS - PRIB,RJ,Active,
3440,ROLOFF FARMS - RED,RR,Active,
3450,ROLOFF FARMS - REDF,RK,Active,
3460,ROLOFF FARMS - WHITE,RW,Active,
3470,KUULEI ORCHARDS - ME,KM,Active,
3480,KUULEI ORCHARDS - JACOB,KJ,Active,
3490,KUULEI ORCHARDS - SHORE,KS,Active,
3500,WGM ROLOFF/SNOW,WG,Active,
3510,DIDION FARMS,DI,Active,
3520,DAVE MORRIS,DA,Active,
3530,RICK HANEY,RY,Active,
3540,Leave Open for EBS Use,HO,Active,
3550,BULLOCK BAKER - HARRIS,HY,Active,
3560,LANCE BULLOCK,LB,Active,
3570,Sam's Apples History,SE,Active,
3580,Malcolm Millar,ME,Active,
3590,RODIGHIERO ORCHARDS - HANSON,RX,Active,
3600,ELK ORCHARDS,EK,Active,
3605,ELK ORCHARDS NON-CHILEAN,E1,Active,
3610,RODIGHIERO ORCHARDS - JONES,RQ,Active,
3615,RODIGHIERO ORCHARDS - LEINBACH,R5,Active,
3620,RODIGHIERO ORCHARDS - SMILTH,RT,Active,
3630,RODIGHIERO ORCHARDS - LARSON,RU,Active,
3640,RODIGHIERO ORCHARDS - TRUJILO,RM,Active,
3650,RODIGHIERO ORCHARDS - ROBERTSON,R1,Active,
3660,RODIGHIERO ORCHARDS - C ROBERTSON,R2,Active,
3670,ROLOFF FARMS - STOLZ,RS,Active,
3680,RODIGHIERO ORCHARDS - MARLIN,R3,Active,
3690,ROLOFF FARMS - HOME,R4,Active,
3700,Sam's Apples Burlingame,SQ,Active,
3710,Rodighiero Orchards - Across,SA,Active,
3720,KUULEI ORCHARDS - MILLAR,KL,Active,
3730,Sam's Apples Addington,AD,Active,
3735,Davis Orchard - Davis,DD,Active,
3740,Bullock Farms - Harvey,B1,Active,
3745,Davis Orchard - Crimson,DC,Active,
3750,Roloff Farms,RF,Active,
3755,Davis Orchards - Mack,DK,Active,
3760,Kuulei Orchards,KI,Active,
3765,Davis Orchards - Nash,DN,Active,
3770,Davis Orchards - P2,P2,Active,
3775,Davis Orchards - A Honeys,AH,Active,
3780,Davis Orchards - P3,P3,Active,
3785,Davis Orchard - Best,B2,Active,
3790,Davis Orchard - Hermans,HE,Active,
3795,Davis Orchard - Hohns,HN,Active,
3800,FFL- SUNDOWN NON-CHILEAN,SU,Active,
3805,FFL- SUNDOWN NON-CANADA,S2,Active,
3900,Phoenix No Chilean,PX,Active,
4000,C&J,CJ,Active,
4100,Conconully Pears,CP,Active,
4150,Conconully Pears-Derosario,C2,Active,
4200,Milepost-Groff,MG,Active,
4300,FFL-Keystone NON CHILEAN,FK,Active,
4400,FFL-Riverside,FV,Active,
4410,FFL-RIVERSIDE NON-CHILEAN,FW,Active,
4500,Sun Valley Pears,SV,Active,
4600,Pine Creek No Chilean,PC,Active,
4700,Ridpath,RI,Active,
4800,,,Inactive,
4900,Reyna,RE,Active,
5000,Academy,AO,Active,
5460,CASCADE HOLDINGS-BERRY ORCHARD,CG,Active,
5470,P&G STATE - 40,PG,Active,
5480,SAND TIMBER,TI,Active,
5490,MARCELLAY,G2,Active,
5500,CVO,CV,Active,
5510,Buckhorn West,B3,Active,
5520,Buckhorn HT 100,H1,Active,
5530,Buckhorn HT 24,H2,Active,
5540,JBM Mitchell,JM,Active,
5550,HMJD,MJ,Active,
5560,Pioneer Ranch-Baby K,GR,Active,
5570,Maverick-Brock,GM,Active,
5580,Knapp-Knapp North,GK,Active,
5590,Knapp-Above Knapp North,GA,Active,
5600,Cascade Holdings - Bluebird,GC,Active,
5610,CWAC-Graevell,GG,Active,
5620,Buckhorn-Hilltop West,GH,Active,
5630,Buckhorn-Hilltop 100,GT,Active,
5640,P&G-NGPBP,GN,Active,
5650,Wick - Ophir Grade,GW,Active,
5660,Above Bridgeport New,GF,Active,
5670,Cascade Holding-Crossland,GL,Active,
5680,Snyder Flats - General,GD,Active,
5690,P&G-Deeded - D. Mckie,GI,Active,
