CropYear,Warehouse,RoomCode,Grower,Lot,Variety,Bins,Status,EffectiveDate,Notes
2026,EBS,EVANCA01,,9285,RED,48,,2026-06-18,Wes Verified Current Inventory Baseline 2026-06-18
2026,EBS,EVANCA01,,9490,RED,13,,2026-06-18,Wes Verified Current Inventory Baseline 2026-06-18
2026,EBS,EVANCA01,,9570,RED,101,,2026-06-18,Wes Verified Current Inventory Baseline 2026-06-18
2026,EBS,EVANCA01,,9660,RED,1039,,2026-06-18,Wes Verified Current Inventory Baseline 2026-06-18
2026,EBS,EVANCA12,,1560,FUJI,118,Sealed,2026-06-18,Wes Verified Current Inventory Baseline 2026-06-18
2026,EBS,EVANCA12,,1570,FUJI,819,Sealed,2026-06-18,Wes Verified Current Inventory Baseline 2026-06-18
2026,EBS,EVANCA12,,1030,FUJI,85,Sealed,2026-06-18,Wes Verified Current Inventory Baseline 2026-06-18
2026,EBS,LAMBCA17,,1020,PINK,559,Sealed,2026-06-18,Wes Verified Current Inventory Baseline 2026-06-18
2026,EBS,LAMBCA17,,1050,PINK,1359,Sealed,2026-06-18,Wes Verified Current Inventory Baseline 2026-06-18
2026,EBS,BLUECA01,,9510,RED,264,Sealed,2026-06-18,Wes Verified Current Inventory Baseline 2026-06-18
2026,EBS,BLUECA01,,9550,RED,306,Sealed,2026-06-18,Wes Verified Current Inventory Baseline 2026-06-18
2026,EBS,BLUECA01,,9560,RED,608,Sealed,2026-06-18,Wes Verified Current Inventory Baseline 2026-06-18
2026,EBS,BLUECA04,,Current,RED,0,,2026-06-18,Wes Verified Current Inventory Baseline 2026-06-18
2026,EBS,BLUECA06,,1290,GSMT,281,Sealed,2026-06-18,Wes Verified Current Inventory Baseline 2026-06-18
2026,EBS,BLUECA06,,1560,GSMT,183,Sealed,2026-06-18,Wes Verified Current Inventory Baseline 2026-06-18
2026,EBS,BLUECA06,,3200,GSMT,3,Sealed,2026-06-18,Wes Verified Current Inventory Baseline 2026-06-18
2026,EBS,BLUECA06,,9450,GSMT,26,Sealed,2026-06-18,Wes Verified Current Inventory Baseline 2026-06-18
2026,EBS,BLUECA06,,9750,GSMT,21,Sealed,2026-06-18,Wes Verified Current Inventory Baseline 2026-06-18
